1	6.535948	2.673797	3.257329
2	18.867925	5.434783	3.527337
4	31.746032	11.904762	14.492754
8	64.000000	23.738872	29.629630
16	124.031008	47.477745	23.323615
32	246.153846	95.808383	57.347670
64	484.848485	194.528875	119.402985
128	707.182320	389.057751	128.902316
256	1267.326733	771.084337	149.271137
512	2115.702479	1488.372093	277.958740
1024	789.514264	2449.760766	925.858951
2048	4751.740139	4697.247706	1853.393665
4096	4762.790698	5752.808989	1203.290247
8192	6229.657795	6522.292994	1492.983415
16384	7360.287511	7089.571614	1659.979737
32768	8108.883940	8344.283168	1692.736853
65536	11046.013821	11107.796610	2022.778481
131072	13992.953987	14118.052564	2113.008012
262144	14872.574606	14878.483455	2144.537705
524288	15093.505297	15100.895763	2129.520715
1048576	15569.519511	15716.538266	2075.829084
2097152	15272.896761	15273.230451	2072.788445
